id,citation_key,author,year,journal,country,study_type,quality_score,doi,llm_model,pretrained_or_finetuned,training_dataset_size,finetuning_approach,markets_studied,geographic_focus,time_period_covered,data_sources,sentiment_classification_type,sentiment_extraction_method,sentiment_features,lexicon_used,baseline_models,sample_size_texts,train_test_split,evaluation_protocol,primary_metric,metric_value,comparison_to_baseline,financial_outcome,statistical_significance,main_conclusion,best_performing_model,limitations_mentioned,future_work_suggested,extraction_notes
194,Dakalbab2025,"Dakalbab, Fatima Mohamad and Kumar, Ayush and Abu ...",2025,Intelligent Systems with Applications,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Batra2025433,"Batra, Vandna and Suman, null and Kumar Tipu, Rupe...",2025,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Hajaghaie2025,"Hajaghaie, Ahmadreza and Thulasiram, Ruppa K.",2025,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Song2025,"Song, Zhicong and Tsang, Harris Sik Ho and Hsung, ...",2025,Forecasting,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Gona202587,"Gona, Naga Sathwik Reddy and Aunugu, Direesh Reddy...",2025,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Mantshimuli2025213,"Mantshimuli, Lamukanyani Alson and Muteba Mwamba, ...",2025,Investment Management and Financial Innovations,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Shobayo2024,"Shobayo, Olamilekan and Adeyemi-Longe, Sidikat and...",2024,Big Data and Cognitive Computing,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Li20215016,"Li, Mingzheng and Chen, Lei and Zhao, Jing and Li,...",2021,Applied Intelligence,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gu2026,"Gu, Guoqin and Song, Yuping",2026,Applied Soft Computing,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Huang2026,"Huang, Yuan and Ma, Tongjia and Yang, Kuohai and Z...",2026,Journal of Intelligent Information Systems,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Singh20255497,"Singh, Chetanpal and Warraich, Jatinder and Thakka...",2025,International Journal of Information Technology (S...,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Chen2025,"Chen, Weisi and Liu, Wulong and Zheng, Jiaxin and ...",2025,Discover Computing,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Liu2025,"Liu, Yeling and Liu, Yongkang and Yang, Kai",2025,Systems,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Zhuang2025,"Zhuang, Yong and Wang, Feilong and Chiu, Dickson K...",2025,Engineering Applications of Artificial Intelligenc...,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Cicekyurt2025,"Cicekyurt, Emre and Bakal, Gokhan",2025,Computational Economics,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Baghavathi Priya2025889,"Baghavathi Priya, S. and Kumar, Madhav and Nithees...",2025,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Zhang2023349,"Zhang, Boyu and Yang, Hongyang and Zhou, Tianyu an...",2023,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Mohamad Zamani2023147,"Mohamad Zamani, Nur Azmina and Kamaruddin, Norhasl...",2023,Journal of Information Systems Engineering and Bus...,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778, WOS:001221698100004,"Fatouros, Georgios and Soldatos, John and Kourouma...",2023,MACHINE LEARNING WITH APPLICATIONS,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nejatbakhsh20263926,"Nejatbakhsh, Yousef and Aliasgari, Malihe",2026,IEEE Access,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Denekew2025,"Denekew, Arega and Berehane, Tesfahun and Adam, Mo...",2025,Operations Research Forum,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Tan2025960,"Tan, Su and So, Chichiu and Sun, Yueyue and Wang, ...",2025,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Shao2025,"Shao, Zhiqi and Yao, Xusheng and Chen, Feng and Wa...",2025,Decision Support Systems,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Kang2025,"Kang, Ji-won and Choi, Sun-yong",2025,Electronics (Switzerland),,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Liu2025,"Liu, Dinggao and Wang, Liuqing and Lin, Shuo and T...",2025,Mathematics,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Okada2025,"Okada, Katsuhiko and Nakasuji, Moe and Tsukioka, Y...",2025,PeerJ Computer Science,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Rao2025361,"Rao, Logan and Tsaryk, Mary and Benhnini, Anwar an...",2025,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Friday2025,"Friday, Ibanga Kpereobong and Mishra, Sasmita and ...",2025,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Herdany2025144,"Herdany, Andi Rifan Ghaffar and Oktavia, Tanty",2025,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Ahire2024912,"Ahire, Vijaya and Borase, Swati",2024,International Research Journal of Multidisciplinar...,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Ahmed2024,"Ahmed, Mohamed Erfan and Ebrahim, Gamal A. and Abd...",2024,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Kim2023,"Kim, Jihwan and Kim, Huisang and Choi, Sun-yong",2023,Axioms,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Ayyappa2023643,"Ayyappa, Yalanati and Kumar, B. Vinay and Priya, S...",2023,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Pouromid2021,"Pouromid, Mohammadjalal and Yekkehkhani, Arman and...",2021,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894, WOS:001516366800001,"Zhang, Jingren and Maidin, Siti Sarah and Dewi, De...",2025,SYMMETRY-BASEL,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949, WOS:001662012200001,"Khalil, Rashid",2026,JOURNAL OF MODELLING IN MANAGEMENT,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chen2026,"Chen, Qizhao and Kawashima, Hiroaki",2026,International Journal of Data Science and Analytic...,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Daş2026,"Daş, Bihter and Dagdogen, Huseyin Alperen and Kaya...",2026,Engineering Applications of Artificial Intelligenc...,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Fang202592,"Fang, Junyi and Liu, Xiaojian and Zhou, Minshuai",2025,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Chiu2025,"Chiu, I. Chan and Hung, Mao-wei",2025,Pacific Basin Finance Journal,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Singh2025,"Singh, Kamini and Gupta, Gaurav and Chhabra, Yachn...",2025,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Yadav2025,"Yadav, Sameer and Keswani, Sarika and Sengar, Alok...",2025,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Du2025,"Du, Nanjiang and Zhao, Yida and Wang, Jintao and Z...",2025,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Kim2024626,"Kim, Wonseong and Sporer, Jan and Lee, Choong Lyol...",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Gu202467,"Gu, Wenjun and Zhong, Yihao and Li, Shizun and Wei...",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
