Citation_Key,Author,Year,Title
Dakalbab2025,"Dakalbab, Fatima Mohamad and Kumar, Ayush and Abu Talib, Manar and Nasir, Qassim",2025,Advancing Forex prediction through multimodal text-driven model and attention mechanisms
Batra2025433,"Batra, Vandna and Suman, null and Kumar Tipu, Rupesh Kumar",2025,Deep Learning and Optimization Techniques for Sentiment-Driven Stock Market Prediction Using Transformer Models
Hajaghaie2025,"Hajaghaie, Ahmadreza and Thulasiram, Ruppa K.",2025,Leveraging Large Language Models and Retrieval-Augmented Generation for Enhanced Multi-Asset Portfolio Construction
Song2025,"Song, Zhicong and Tsang, Harris Sik Ho and Hsung, Tai Chiu and Zhu, Yulin and Lo, Wai Lun",2025,From Market Volatility to Predictive Insight: An Adaptive Transformer–RL Framework for Sentiment-Driven Financial Time-Series Forecasting
Gona202587,"Gona, Naga Sathwik Reddy and Aunugu, Direesh Reddy and Methuku, Vijayalaxmi and Agrawal, Manan and Myakala, Praveen Kumar",2025,Hybrid LSTM-Transformer Model for Stock Market Prediction: A Deep Learning Approach
Mantshimuli2025213,"Mantshimuli, Lamukanyani Alson and Muteba Mwamba, John Weirstrass",2025,ENHANCING PORTFOLIO OPTIMIZATION WITH MULTI-LLM SENTIMENT AGGREGATION: A BLACK-LITTERMAN INTEGRATION APPROACH
Shobayo2024,"Shobayo, Olamilekan and Adeyemi-Longe, Sidikat and Popoola, Olusogo Joshua and Ogunleye, Bayode",2024,"Innovative Sentiment Analysis and Prediction of Stock Price Using FinBERT, GPT-4 and Logistic Regression: A Data-Driven Approach"
Li20215016,"Li, Mingzheng and Chen, Lei and Zhao, Jing and Li, Qiang",2021,Sentiment analysis of Chinese stock reviews based on BERT model
Gu2026,"Gu, Guoqin and Song, Yuping",2026,Enhancing exchange rate forecasting with contextual sentiment indices: A fine-tuned FinBERT approach
Huang2026,"Huang, Yuan and Ma, Tongjia and Yang, Kuohai and Zhang, Zhaoliang",2026,FinSent-DistillQ: A distilled large language model with chain-of-thought fine-tuning for financial sentiment analysis
Singh20255497,"Singh, Chetanpal and Warraich, Jatinder and Thakkar, Rahul and Vo, Nguyen",2025,SABER: a multimodal sentiment aware regression framework using ROBERTa BiLSTM and deep batch active learning for stock market prediction
Chen2025,"Chen, Xieling and Xie, Haoran and Li, Zongxi and Zhang, Han and Tao, Xiaohui and Wang, Fu Lee",2025,Sentiment analysis for stock market research: A bibliometric study
Liu2025_MDandA,"Liu, Rui and Liang, Jiayou and Chen, Haolong and Hu, Yujia",2025,Analyst Reports and Stock Performance: Evidence From the Chinese Market
Zhuang2025,"Zhuang, Yong and Wang, Feilong and Chiu, Dickson Kak Wah and Ho, Kevin K.W.",2025,Leveraging large language models to examine the interaction between investor sentiment and stock performance
Cicekyurt2025,"Cicekyurt, Emre and Bakal, Gokhan",2025,Enhancing Sentiment Analysis in Stock Market Tweets Through BERT-Based Knowledge Transfer
Baghavathi Priya2025889,"Baghavathi Priya, S. and Kumar, Madhav and Nitheesh Prakash, J. D. and Krithika, N.",2025,Advanced Financial Sentiment Analysis using FinBERT to Explore Sentiment Dynamics
Zhang2023349,"Zhang, Boyu and Yang, Hongyang and Zhou, Tianyu and Ali Babar, Muhammad Ali and Liu, Xiaoyang",2023,Enhancing Financial Sentiment Analysis via Retrieval Augmented Large Language Models
Mohamad Zamani2023147,"Mohamad Zamani, Nur Azmina and Kamaruddin, Norhaslinda",2023,Crypto-sentiment Detection in Malay Text Using Language Models with an Attention Mechanism
WOS:001221698100004,"Fatouros, Georgios and Soldatos, John and Kouroumali, Kalliopi",2023,Transforming sentiment analysis in the financial domain with ChatGPT
Nejatbakhsh20263926,"Nejatbakhsh, Yousef and Aliasgari, Malihe",2026,"Enhancing Stock Market Prediction With Hybrid Deep Learning: Integrating LSTM, Transformer Attention, Federated Learning, and Sentiment Analysis"
Denekew2025,"Denekew, Arega and Berehane, Tesfahun and Adam, Molalign",2025,Integrating Large Language Models and CNN-LSTM for Enhanced Portfolio Optimization
Tan2025960,"Tan, Su and So, Chichiu and Sun, Yueyue and Wang, Junmin and Loh, Anthony Wai Keung and Yung, Siupang",2025,"Vision, Voice, and Text: Pioneering Zero-shot Multimodal LLMs for Sentiment-driven Investment"
Shao2025,"Shao, Zhiqi and Yao, Xusheng and Chen, Feng and Wang, Ze and Gao, Junbin",2025,Revisiting time-varying dynamics in stock market forecasting: A multi-source sentiment analysis approach with large language model
Kang2025,"Kang, Ji-won and Choi, Sun-yong",2025,Comparative Investigation of GPT and FinBERT’s Sentiment Analysis Performance in News Across Different Sectors
Liu2025_Carbon,"Liu, Rui and Liang, Jiayou and Chen, Haolong and Hu, Yujia",2025,Analyst Reports and Stock Performance: Evidence From the Chinese Market
Okada2025,"Okada, Katsuhiko and Nakasuji, Moe and Tsukioka, Yasutomo and Yamasaki, Takahiro",2025,From words to returns: sentiment analysis of Japanese 10-K reports using advanced large language models
